('1', 840)
('2', 21.600000381469727)
('3', 70.8800006866455)
('4', 23.799999237060547)
('1', 839)
('2', 21.600000381469727)
('3', 70.7)
('4', 23.799999237060547)
('1', 839)
('2', 21.600000381469727)
('3', 70.8800006866455)
('4', 23.799999237060547)
('1', 840)
('2', 21.5)
('3', 70.8800006866455)
('4', 23.700000762939453)
('1', 839)
('2', 21.5)
('3', 70.8800006866455)
('4', 23.799999237060547)
('1', 841)
('2', 21.5)
('3', 70.8800006866455)
('4', 23.799999237060547)
('1', 840)
('2', 21.5)
('3', 70.7)
('4', 23.799999237060547)
('1', 841)
('2', 21.5)
('3', 70.7)
('4', 23.799999237060547)
('1', 840)
('2', 21.399999618530273)
('3', 70.7)
('4', 23.799999237060547)
('1', 842)
('2', 21.5)
('3', 70.5199993133545)
('4', 23.799999237060547)
('1', 841)
('2', 21.5)
('3', 70.7)
('4', 23.799999237060547)
('1', 842)
('2', 21.600000381469727)
('3', 70.8800006866455)
('4', 23.700000762939453)
('1', 840)
('2', 21.600000381469727)
('3', 70.8800006866455)
('4', 23.700000762939453)
('1', 841)
('2', 21.5)
('3', 70.7)
('4', 23.799999237060547)
('1', 842)
('2', 21.5)
('3', 70.8800006866455)
('4', 23.799999237060547)
('1', 841)
('2', 21.5)
('3', 70.8800006866455)
('4', 23.700000762939453)
('1', 842)
('2', 21.5)
('3', 70.8800006866455)
('4', 23.700000762939453)
('1', 841)
('2', 21.5)
('3', 70.7)
('4', 23.799999237060547)
('1', 833)
('2', 21.5)
('3', 70.8800006866455)
('4', 23.799999237060547)
('1', 841)
('2', 21.600000381469727)
('3', 70.8800006866455)
('4', 23.799999237060547)
('1', 842)
('2', 21.600000381469727)
('3', 70.8800006866455)
('4', 23.799999237060547)
('1', 841)
('2', 21.799999237060547)
('3', 71.06000137329102)
('4', 23.799999237060547)
('1', 841)
('2', 21.600000381469727)
('3', 71.06000137329102)
('4', 23.799999237060547)
('1', 842)
('2', 21.5)
('3', 70.7)
('4', 23.799999237060547)
('1', 841)
('2', 21.5)
('3', 70.7)
('4', 23.899999618530273)
('1', 841)
('2', 21.5)
('3', 70.5199993133545)
('4', 23.899999618530273)
('1', 842)
('2', 21.5)
('3', 70.7)
('4', 23.799999237060547)
('1', 842)
('2', 21.5)
('3', 70.5199993133545)
('4', 23.799999237060547)
('1', 845)
('2', 21.399999618530273)
('3', 70.7)
('4', 23.799999237060547)
('1', 842)
('2', 21.5)
('3', 70.7)
('4', 23.799999237060547)
('1', 842)
('2', 21.5)
('3', 70.7)
('4', 23.799999237060547)
('1', 842)
('2', 21.399999618530273)
('3', 70.7)
('4', 23.799999237060547)
('1', 843)
('2', 21.5)
('3', 70.7)
('4', 23.799999237060547)
('1', 843)
('2', 21.5)
('3', 70.8800006866455)
('4', 23.799999237060547)
('1', 842)
('2', 21.5)
('3', 70.7)
('4', 23.700000762939453)
('1', 842)
('2', 21.5)
('3', 70.8800006866455)
('4', 23.700000762939453)
('1', 842)
('2', 21.5)
('3', 70.7)
('4', 23.700000762939453)
('1', 843)
('2', 21.600000381469727)
('3', 70.7)
('4', 23.700000762939453)
('1', 843)
('2', 21.5)
('3', 70.7)
('4', 23.799999237060547)
('1', 842)
('2', 21.100000381469727)
('3', 70.7)
('4', 23.799999237060547)
('1', 843)
('2', 21.5)
('3', 70.7)
('4', 23.799999237060547)
('1', 842)
('2', 21.600000381469727)
('3', 70.8800006866455)
('4', 23.799999237060547)
('1', 842)
('2', 22.700000762939453)
('3', 71.78000068664551)
('4', 23.799999237060547)
('1', 842)
('2', 21.899999618530273)
('3', 70.7)
('4', 23.899999618530273)
('1', 841)
('2', 21.5)
('3', 70.7)
('4', 23.899999618530273)
('1', 842)
('2', 21.600000381469727)
('3', 70.5199993133545)
('4', 23.899999618530273)
('1', 842)
('2', 21.399999618530273)
('3', 70.7)
('4', 23.899999618530273)
('1', 842)
('2', 21.600000381469727)
('3', 70.8800006866455)
('4', 23.899999618530273)
('1', 842)
('2', 21.5)
('3', 70.7)
('4', 23.899999618530273)
('1', 842)
('2', 21.5)
('3', 70.7)
('4', 23.899999618530273)
('1', 842)
('2', 21.399999618530273)
('3', 70.5199993133545)
('4', 23.899999618530273)
('1', 842)
('2', 21.399999618530273)
('3', 70.5199993133545)
('4', 23.899999618530273)
('1', 841)
('2', 21.399999618530273)
('3', 70.5199993133545)
('4', 23.899999618530273)
('1', 841)
('2', 21.399999618530273)
('3', 70.7)
('4', 23.899999618530273)
('1', 842)
('2', 21.5)
('3', 70.7)
('4', 23.799999237060547)
('1', 841)
('2', 21.5)
('3', 70.7)
('4', 23.899999618530273)
('1', 842)
('2', 22.299999237060547)
('3', 71.6)
('4', 23.899999618530273)
('1', 842)
('2', 21.5)
('3', 70.7)
('4', 23.799999237060547)
('1', 843)
('2', 21.5)
('3', 70.7)
('4', 23.799999237060547)
('1', 843)
('2', 21.5)
('3', 70.7)
('4', 23.799999237060547)
('1', 843)
('2', 21.5)
('3', 70.7)
('4', 23.799999237060547)
('1', 843)
('2', 21.5)
('3', 70.7)
('4', 23.799999237060547)
('1', 843)
('2', 21.5)
('3', 70.7)
('4', 23.799999237060547)
('1', 843)
('2', 21.5)
('3', 70.8800006866455)
('4', 23.799999237060547)
('1', 847)
('2', 21.5)
('3', 70.8800006866455)
('4', 23.799999237060547)
('1', 843)
('2', 21.5)
('3', 70.8800006866455)
('4', 23.799999237060547)
('1', 843)
('2', 21.700000762939453)
('3', 70.33999862670899)
('4', 23.799999237060547)
('1', 843)
('2', 21.399999618530273)
('3', 70.7)
('4', 23.799999237060547)
('1', 843)
('2', 21.399999618530273)
('3', 70.7)
('4', 23.799999237060547)
('1', 842)
('2', 21.399999618530273)
('3', 70.7)
('4', 23.799999237060547)
('1', 843)
('2', 21.399999618530273)
('3', 70.8800006866455)
('4', 23.799999237060547)
('1', 843)
('2', 21.399999618530273)
('3', 70.7)
('4', 23.799999237060547)
('1', 843)
('2', 21.399999618530273)
('3', 70.7)
('4', 23.799999237060547)
('1', 843)
('2', 21.5)
('3', 70.8800006866455)
('4', 23.799999237060547)
('1', 844)
('2', 21.5)
('3', 70.8800006866455)
('4', 23.799999237060547)
('1', 843)
('2', 21.700000762939453)
('3', 70.8800006866455)
('4', 23.799999237060547)
('1', 843)
('2', 21.5)
('3', 70.5199993133545)
('4', 23.799999237060547)
('1', 847)
('2', 21.5)
('3', 70.5199993133545)
('4', 23.799999237060547)
('1', 842)
('2', 21.399999618530273)
('3', 70.5199993133545)
('4', 23.799999237060547)
('1', 843)
('2', 21.299999237060547)
('3', 70.5199993133545)
('4', 23.799999237060547)
('1', 843)
('2', 21.399999618530273)
('3', 70.7)
('4', 23.799999237060547)
('1', 843)
('2', 21.399999618530273)
('3', 70.7)
('4', 23.799999237060547)
('1', 843)
('2', 21.399999618530273)
('3', 70.7)
('4', 23.799999237060547)
('1', 843)
('2', 21.5)
('3', 70.8800006866455)
('4', 23.700000762939453)
('1', 843)
('2', 21.5)
('3', 70.8800006866455)
('4', 23.700000762939453)
('1', 844)
('2', 21.600000381469727)
('3', 72.13999862670899)
('4', 23.799999237060547)
('1', 844)
('2', 21.700000762939453)
('3', 71.06000137329102)
('4', 23.799999237060547)
('1', 844)
('2', 21.700000762939453)
('3', 71.06000137329102)
('4', 23.799999237060547)
('1', 844)
('2', 21.700000762939453)
('3', 70.8800006866455)
('4', 23.799999237060547)
('1', 844)
('2', 21.700000762939453)
('3', 71.239998626709)
('4', 23.700000762939453)
('1', 843)
('2', 21.5)
('3', 70.8800006866455)
('4', 23.799999237060547)
('1', 844)
('2', 21.600000381469727)
('3', 70.7)
('4', 23.799999237060547)
('1', 844)
('2', 21.5)
('3', 70.8800006866455)
('4', 23.799999237060547)
('1', 844)
('2', 21.5)
('3', 71.06000137329102)
('4', 23.799999237060547)
('1', 844)
('2', 21.600000381469727)
('3', 72.13999862670899)
('4', 23.899999618530273)
('1', 844)
('2', 21.600000381469727)
('3', 70.7)
('4', 23.899999618530273)
('1', 845)
('2', 21.899999618530273)
('3', 70.8800006866455)
('4', 23.899999618530273)
